,Driver_ID,Age,Gender,City,Education_Level,Income,Date_of_joining,Last_Working_Date,Joining_Designation,Grade,Total_Business_Value,Quarterly_Rating,Tenure,Join_Month,Leave_Month,Has_left,Monthly_Income_Increase,Quarterly_Rating_Increase
32,44,28.0,Male,C17,2,62100,2020-09-25,2020-11-24,1,1,150110,1,60.0,2020-09,2020-11,Left,0,0
33,45,35.0,Male,C8,2,77544,2020-05-29,,3,3,5227340,3,,2020-05,,Active,0,1
34,46,36.0,Female,C25,2,42171,2018-10-28,2019-02-27,1,1,338290,1,122.0,2018-10,2019-02,Left,0,0
35,47,30.0,Male,C21,1,28000,2020-10-09,,1,1,866270,2,,2020-10,,Active,0,0
36,49,34.668434595389385,Male,C20,0,53039,2018-05-25,2020-01-21,1,2,1798800,1,606.0,2018-05,2020-01,Left,0,0
37,50,49.0,Female,C5,0,89367,2018-11-20,2019-02-20,3,3,110310,1,92.0,2018-11,2019-02,Left,0,0
38,51,34.0,Male,C14,0,131347,2017-05-22,2019-12-23,4,4,3190010,2,945.0,2017-05,2019-12,Left,0,1
39,52,37.0,Male,C19,0,48687,2020-06-28,,3,3,1852590,2,,2020-06,,Active,0,1
40,54,35.0,Male,C29,1,127826,2019-07-11,,4,5,33823290,1,,2019-07,,Active,1,0
41,55,30.0,Female,C8,0,29985,2019-11-21,2020-03-15,1,1,0,1,115.0,2019-11,2020-03,Left,0,0
42,56,36.0,Female,C19,2,80223,2018-07-20,,1,1,11723470,4,,2018-07,,Active,0,1
43,57,38.0,Female,C1,1,84318,2017-07-26,2020-07-21,1,2,22791310,1,1091.0,2017-07,2020-07,Left,0,0
44,58,41.0,Male,C4,0,57987,2018-10-15,2019-01-25,2,2,0,1,102.0,2018-10,2019-01,Left,0,0
45,59,35.0,Female,C18,1,31644,2019-01-06,2019-03-28,1,1,134660,1,81.0,2019-01,2019-03,Left,0,0
46,60,48.0,Female,C20,0,89592,2016-09-17,,1,4,49225520,2,,2016-09,,Active,1,0
47,61,32.0,Male,C11,2,19818,2018-05-04,2019-03-17,1,1,-439300,1,317.0,2018-05,2019-03,Left,0,0
48,62,27.0,Male,C9,2,62376,2020-11-28,,1,1,0,1,,2020-11,,Active,0,0
49,63,34.668434595389385,Male,C6,0,93931,2016-04-30,,1,3,12293120,2,,2016-04,,Active,0,1
50,64,33.0,Male,C27,2,66502,2020-01-31,2020-06-19,2,2,193940,1,140.0,2020-01,2020-06,Left,0,0
51,65,30.0,Female,C7,1,69539,2018-07-31,2020-06-16,2,2,11718580,2,686.0,2018-07,2020-06,Left,0,0
52,66,27.0,Female,C4,2,104286,2020-01-21,,3,3,0,1,,2020-01,,Active,0,0
53,67,41.0,Male,C28,2,65982,2019-01-04,,1,2,12543500,3,,2019-01,,Active,0,1
54,68,32.0,Male,C29,0,79288,2015-10-18,,1,3,27309820,3,,2015-10,,Active,0,0
55,69,34.668434595389385,Female,C7,1,64604,2019-11-14,2020-09-12,2,2,4640080,1,303.0,2019-11,2020-09,Left,0,0
56,70,35.0,Male,C20,1,19235,2018-10-08,2019-01-29,1,1,0,1,113.0,2018-10,2019-01,Left,0,0
57,71,43.0,Male,C20,2,54103,2018-05-25,2019-02-15,3,3,188780,1,266.0,2018-05,2019-02,Left,0,0
58,72,28.0,Male,C14,2,42242,2020-10-18,,2,2,193580,1,,2020-10,,Active,0,0
59,74,35.0,Female,C5,2,59216,2020-05-01,2020-10-24,2,2,592270,1,176.0,2020-05,2020-10,Left,0,0
60,75,25.0,Female,C18,2,39884,2020-07-21,2020-12-13,2,2,2365930,2,145.0,2020-07,2020-12,Left,0,0
61,77,34.0,Male,C3,2,63918,2018-05-18,,1,2,17959920,3,,2018-05,,Active,0,1
62,78,37.0,Male,C21,0,105946,2018-09-16,,2,4,43531510,2,,2018-09,,Active,0,0
63,79,32.0,Male,C14,1,114648,2019-07-09,2019-08-09,4,4,0,1,31.0,2019-07,2019-08,Left,0,0
64,80,29.0,Female,C7,0,56687,2020-10-02,,2,2,153300,1,,2020-10,,Active,0,0
65,81,39.0,Male,C9,2,77177,2018-06-12,2019-10-04,1,2,3133680,1,479.0,2018-06,2019-10,Left,0,0
66,82,37.0,Female,C24,1,89013,2020-04-11,2020-07-29,3,3,0,1,109.0,2020-04,2020-07,Left,0,0
67,83,34.0,Male,C23,2,115159,2019-08-29,2020-06-07,3,3,750000,1,283.0,2019-08,2020-06,Left,0,0
68,84,42.0,Male,C16,0,25950,2019-07-04,2020-09-04,1,1,8688020,2,428.0,2019-07,2020-09,Left,0,1
69,85,25.0,Male,C22,2,49509,2020-09-28,,1,1,0,1,,2020-09,,Active,0,0
70,86,35.0,Male,C2,2,49510,2018-05-28,2019-01-27,1,1,0,1,244.0,2018-05,2019-01,Left,0,0
71,87,37.0,Male,C6,1,119341,2019-08-31,,3,3,36029220,4,,2019-08,,Active,0,1
72,88,45.0,Female,C3,0,62298,2018-01-06,2019-06-03,2,2,3248870,1,513.0,2018-01,2019-06,Left,0,0
73,89,28.0,Male,C2,1,58977,2019-05-30,2020-07-29,2,2,6131430,1,426.0,2019-05,2020-07,Left,0,0
74,90,33.0,Male,C22,0,29408,2019-11-11,2020-03-10,2,2,543640,1,120.0,2019-11,2020-03,Left,0,0
75,91,31.0,Male,C21,0,22731,2019-08-03,2019-12-15,2,2,200000,1,134.0,2019-08,2019-12,Left,0,0
76,93,30.0,Male,C17,2,39527,2018-07-14,2019-02-03,2,2,1220120,2,204.0,2018-07,2019-02,Left,0,0
77,95,29.0,Female,C14,2,60874,2020-01-30,2020-03-09,3,3,0,1,39.0,2020-01,2020-03,Left,0,0
78,96,35.0,Male,C12,2,64953,2020-07-17,2020-11-27,3,3,0,1,133.0,2020-07,2020-11,Left,0,0
79,97,40.0,Female,C2,2,80771,2020-10-03,,3,3,350000,1,,2020-10,,Active,0,0
80,98,25.0,Male,C16,0,63774,2019-08-15,2020-12-25,2,3,21415440,2,498.0,2019-08,2020-12,Left,1,0
81,99,30.0,Male,C23,0,38068,2020-03-24,2020-07-29,2,2,0,1,127.0,2020-03,2020-07,Left,0,0
82,101,33.0,Male,C10,0,38945,2017-12-03,2019-05-03,1,1,1759840,1,516.0,2017-12,2019-05,Left,0,0
83,102,22.0,Female,C12,0,42270,2019-01-05,2019-03-21,1,1,0,1,75.0,2019-01,2019-03,Left,0,0
84,103,34.668434595389385,Female,C28,1,68913,2019-11-30,2020-07-04,2,2,544380,1,217.0,2019-11,2020-07,Left,0,0
85,104,30.0,Female,C23,1,60332,2020-08-16,,2,2,1252320,2,,2020-08,,Active,0,1
86,105,38.0,Male,C4,0,67931,2018-09-18,2019-01-06,1,1,0,1,110.0,2018-09,2019-01,Left,0,0
87,106,34.0,Female,C22,0,57671,2016-05-27,2019-08-02,1,3,4504880,2,1162.0,2016-05,2019-08,Left,0,0
88,107,35.0,Male,C9,2,102142,2019-12-12,2020-11-27,3,3,4545450,1,351.0,2019-12,2020-11,Left,0,0
89,108,38.0,Male,C22,2,121259,2020-01-09,2020-06-02,3,3,864350,1,145.0,2020-01,2020-06,Left,0,0
90,109,36.0,Female,C6,0,33927,2020-04-14,,1,1,1927920,2,,2020-04,,Active,0,1
91,110,32.0,Female,C16,1,32663,2019-09-19,2020-02-17,1,1,251810,1,151.0,2019-09,2020-02,Left,0,0
92,111,52.0,Male,C13,1,73769,2016-12-13,2019-09-17,2,3,2167840,1,1008.0,2016-12,2019-09,Left,0,0
93,112,46.0,Male,C29,1,50466,2018-06-30,,1,1,13121470,3,,2018-06,,Active,0,0
94,113,42.0,Female,C10,0,47160,2019-06-23,2019-10-17,1,1,670440,1,116.0,2019-06,2019-10,Left,0,0
95,114,32.0,Female,C19,0,89456,2020-09-28,,3,3,0,1,,2020-09,,Active,0,0
96,115,46.0,Male,C1,1,31752,2015-07-23,,1,3,12674940,2,,2015-07,,Active,0,0
97,116,22.0,Male,C11,0,16477,2018-12-04,2019-09-23,1,1,1116990,1,293.0,2018-12,2019-09,Left,0,0
98,117,47.0,Female,C1,1,144978,2016-01-28,,1,5,40152720,2,,2016-01,,Active,0,0
99,118,42.0,Female,C27,0,67904,2020-03-10,2020-09-15,3,3,150700,1,189.0,2020-03,2020-09,Left,0,0
100,119,32.0,Female,C29,1,71000,2019-11-16,2020-03-24,3,3,557720,1,129.0,2019-11,2020-03,Left,0,0
101,120,34.668434595389385,Male,C14,2,114258,2019-09-28,2020-03-29,3,3,0,1,183.0,2019-09,2020-03,Left,0,0
102,121,33.0,Female,C13,2,58885,2020-03-07,2020-05-24,3,3,0,1,78.0,2020-03,2020-05,Left,0,0
103,122,27.0,Male,C26,0,57406,2020-08-07,,2,2,605760,2,,2020-08,,Active,0,1
104,123,44.0,Male,C24,1,41401,2018-10-07,2019-09-23,1,1,2184160,1,351.0,2018-10,2019-09,Left,0,0
105,125,33.0,Female,C10,2,30847,2018-07-29,2019-07-21,1,1,1221780,1,357.0,2018-07,2019-07,Left,0,0
106,127,33.0,Male,C28,1,84085,2018-05-04,2019-03-01,3,3,-70000,1,301.0,2018-05,2019-03,Left,0,0
107,129,38.0,Female,C6,1,60708,2020-07-11,,2,2,436190,1,,2020-07,,Active,0,0
108,130,38.0,Male,C28,1,39990,2020-01-17,2020-07-29,2,2,2928710,1,194.0,2020-01,2020-07,Left,0,0
109,131,38.0,Female,C19,1,79086,2013-10-21,2019-11-11,2,3,2620360,1,2212.0,2013-10,2019-11,Left,0,0
110,132,27.0,Male,C20,2,43165,2020-05-01,2020-07-20,2,2,0,1,80.0,2020-05,2020-07,Left,0,0
111,133,44.0,Female,C23,2,46858,2018-07-30,2019-05-23,1,1,873110,1,297.0,2018-07,2019-05,Left,0,0
112,134,32.0,Male,C27,0,76904,2020-10-12,,3,3,190550,1,,2020-10,,Active,0,0
113,135,28.0,Male,C22,0,98877,2020-09-15,,3,3,1517680,2,,2020-09,,Active,0,1
114,136,37.0,Female,C10,0,47009,2018-10-02,2019-01-05,1,1,0,1,95.0,2018-10,2019-01,Left,0,0
115,137,42.0,Male,C28,0,33459,2020-06-05,,2,2,6570070,4,,2020-06,,Active,0,1
116,138,48.0,Male,C21,2,34827,2018-01-26,2019-01-06,1,1,0,1,345.0,2018-01,2019-01,Left,0,0
117,139,32.0,Male,C14,1,51850,2019-10-31,2019-12-05,2,2,0,1,35.0,2019-10,2019-12,Left,0,0
118,140,38.0,Male,C9,1,72253,2016-04-29,,1,2,13939940,3,,2016-04,,Active,0,0
119,141,35.0,Male,C22,1,65901,2020-07-10,2020-10-31,2,2,0,1,113.0,2020-07,2020-10,Left,0,0
120,142,24.0,Male,C16,1,29807,2018-06-10,2019-02-08,1,1,122040,1,243.0,2018-06,2019-02,Left,0,0
121,143,40.0,Male,C12,2,24150,2018-05-01,2019-02-27,1,1,340560,1,302.0,2018-05,2019-02,Left,0,0
122,144,27.0,Male,C28,2,21933,2019-08-19,2019-11-24,1,1,0,1,97.0,2019-08,2019-11,Left,0,0
123,145,35.0,Male,C13,1,75112,2020-02-13,2020-06-22,3,3,1847280,3,130.0,2020-02,2020-06,Left,0,1
124,147,36.0,Male,C9,1,85172,2019-07-20,2019-10-01,2,2,0,1,73.0,2019-07,2019-10,Left,0,0
125,148,41.0,Male,C15,0,45288,2020-12-11,,2,2,0,1,,2020-12,,Active,0,0
126,149,34.0,Female,C20,0,61913,2020-04-17,2020-07-22,3,3,0,1,96.0,2020-04,2020-07,Left,0,0
127,150,39.0,Male,C17,0,29013,2016-04-22,,1,3,24273480,3,,2016-04,,Active,0,1
128,151,30.0,Male,C15,0,89602,2019-09-15,2020-01-21,4,4,950170,1,128.0,2019-09,2020-01,Left,0,0
129,152,31.0,Male,C17,0,31547,2018-06-03,2019-06-15,1,2,1419720,2,377.0,2018-06,2019-06,Left,0,1
130,153,38.0,Female,C22,1,148588,2018-10-14,2019-11-19,5,5,1472800,1,401.0,2018-10,2019-11,Left,0,0
131,154,30.0,Male,C21,1,47211,2020-07-03,2020-10-18,1,1,0,1,107.0,2020-07,2020-10,Left,0,0
132,155,27.0,Male,C26,1,118363,2017-09-10,2019-02-26,2,3,1602380,2,534.0,2017-09,2019-02,Left,0,0
133,156,41.0,Female,C9,1,41046,2018-07-01,2019-02-28,1,1,0,1,242.0,2018-07,2019-02,Left,0,0
134,158,26.0,Male,C22,1,45832,2020-07-03,2020-09-23,1,1,0,1,82.0,2020-07,2020-09,Left,0,0
135,159,44.0,Female,C4,1,30121,2017-07-21,2020-02-17,1,1,6278140,1,941.0,2017-07,2020-02,Left,0,0
136,161,38.0,Male,C25,2,35793,2018-06-19,2019-03-29,1,1,0,1,283.0,2018-06,2019-03,Left,0,0
137,162,36.0,Male,C2,1,100064,2019-10-31,2019-12-30,3,3,0,1,60.0,2019-10,2019-12,Left,0,0
138,163,29.0,Male,C6,0,25731,2020-05-08,2020-09-27,1,1,0,1,142.0,2020-05,2020-09,Left,0,0
139,164,37.0,Female,C26,0,106171,2019-06-17,2020-11-27,1,4,10395250,1,529.0,2019-06,2020-11,Left,0,0
140,165,25.0,Female,C21,2,76307,2018-10-16,2019-01-15,2,2,0,1,91.0,2018-10,2019-01,Left,0,0
141,167,34.668434595389385,Male,C18,1,35283,2018-03-02,2019-05-06,1,1,1154620,1,430.0,2018-03,2019-05,Left,0,0
142,168,26.0,Male,C15,2,33057,2019-10-07,,2,2,12087570,3,,2019-10,,Active,0,0
143,169,34.0,Male,C14,2,38409,2018-05-01,2019-11-29,2,2,5239360,1,577.0,2018-05,2019-11,Left,0,0
144,170,35.0,Male,C7,2,91458,2019-07-04,2019-11-23,3,3,1987680,1,142.0,2019-07,2019-11,Left,0,0
145,171,44.0,Female,C23,1,56242,2018-08-24,2019-07-21,2,2,3466180,1,331.0,2018-08,2019-07,Left,0,0
146,172,41.0,Female,C6,2,101395,2017-11-07,2019-06-29,2,3,5365850,1,599.0,2017-11,2019-06,Left,0,0
147,173,39.0,Male,C28,0,56174,2014-06-13,,1,3,19866290,3,,2014-06,,Active,0,1
148,174,39.0,Female,C21,1,22065,2018-07-27,2019-05-04,1,1,2970500,1,281.0,2018-07,2019-05,Left,0,0
149,175,31.0,Male,C13,0,27889,2018-09-22,2019-05-04,1,1,19580,1,224.0,2018-09,2019-05,Left,0,0
150,176,34.0,Male,C15,0,21276,2020-05-04,2020-07-29,1,1,0,1,86.0,2020-05,2020-07,Left,0,0
151,177,31.0,Male,C4,1,43053,2018-12-14,2019-06-10,1,1,600000,1,178.0,2018-12,2019-06,Left,0,0
152,178,23.0,Female,C7,0,36637,2018-09-11,2019-09-26,2,2,550000,1,380.0,2018-09,2019-09,Left,0,0
153,179,34.668434595389385,Female,C11,2,24490,2018-05-26,2019-05-04,1,1,1616780,1,343.0,2018-05,2019-05,Left,0,0
154,180,34.0,Male,C29,1,95694,2018-06-26,2019-11-15,2,4,0,1,507.0,2018-06,2019-11,Left,0,0
155,181,30.0,Female,C17,2,26926,2020-11-06,,3,3,0,1,,2020-11,,Active,0,0
156,182,32.0,Male,C22,2,25832,2020-01-13,2020-07-04,1,1,866320,1,173.0,2020-01,2020-07,Left,0,0
157,183,34.668434595389385,Female,C23,2,43263,2019-11-03,2020-05-25,1,1,903800,1,204.0,2019-11,2020-05,Left,0,0
158,184,34.0,Female,C21,2,62199,2020-04-12,2020-07-05,2,2,903160,1,84.0,2020-04,2020-07,Left,0,0
159,185,29.0,Male,C1,0,82120,2016-11-30,2019-08-18,1,3,2416570,1,991.0,2016-11,2019-08,Left,0,0
160,187,34.0,Male,C26,1,20922,2019-11-02,2020-03-15,2,2,151600,1,134.0,2019-11,2020-03,Left,0,0
161,188,34.0,Male,C12,0,36483,2019-11-15,,2,2,2516690,1,,2019-11,,Active,0,0
162,190,36.0,Female,C1,0,108051,2018-11-07,2019-11-02,4,4,121980,1,360.0,2018-11,2019-11,Left,0,0
163,191,27.0,Female,C11,2,63380,2019-12-19,,3,3,10666090,3,,2019-12,,Active,0,1
164,192,37.0,Female,C9,1,66952,2020-04-10,,3,3,2412240,1,,2020-04,,Active,0,0
165,193,47.0,Male,C26,2,59084,2018-05-07,2020-02-22,1,2,9983020,1,656.0,2018-05,2020-02,Left,0,0
166,194,30.0,Male,C8,0,54074,2020-06-28,2020-10-12,2,2,2000000,1,106.0,2020-06,2020-10,Left,0,0
167,195,27.0,Male,C18,0,19419,2020-09-28,2020-11-28,1,1,0,1,61.0,2020-09,2020-11,Left,0,0
168,196,44.0,Male,C14,1,75001,2020-05-29,2020-12-26,3,3,1150720,2,211.0,2020-05,2020-12,Left,0,1
169,197,41.0,Male,C25,1,94594,2013-10-16,2019-09-23,2,3,1985150,1,2168.0,2013-10,2019-09,Left,0,0
170,199,30.0,Male,C14,0,87902,2016-12-16,,1,3,31533700,4,,2016-12,,Active,0,1
171,200,46.0,Male,C8,1,66707,2019-11-28,2020-06-27,3,3,0,1,212.0,2019-11,2020-06,Left,0,0
172,201,38.0,Female,C5,0,42260,2019-05-30,2019-09-07,3,3,0,1,100.0,2019-05,2019-09,Left,0,0
173,202,33.0,Male,C28,0,28921,2020-10-30,,1,1,593300,2,,2020-10,,Active,0,0
174,203,34.0,Female,C4,2,84713,2019-07-04,2020-11-13,3,3,2816440,1,498.0,2019-07,2020-11,Left,0,0
175,204,34.668434595389385,Female,C14,0,68151,2017-12-05,2019-03-29,1,2,337230,1,479.0,2017-12,2019-03,Left,0,0
176,205,39.0,Male,C12,0,15826,2020-12-20,,1,1,0,1,,2020-12,,Active,0,0
177,206,26.0,Female,C10,0,12968,2020-09-28,,1,1,0,1,,2020-09,,Active,0,0
178,207,32.0,Male,C29,0,61894,2018-05-09,2019-04-16,3,3,3209720,1,342.0,2018-05,2019-04,Left,0,0
179,208,31.0,Male,C16,2,31657,2019-01-06,2019-05-24,1,1,376780,1,138.0,2019-01,2019-05,Left,0,0
180,210,38.0,Male,C29,2,64583,2020-05-03,,3,3,802540,1,,2020-05,,Active,0,0
181,211,34.0,Female,C6,2,81730,2020-06-05,2020-07-29,3,3,0,1,54.0,2020-06,2020-07,Left,0,0
182,213,37.0,Male,C24,0,59947,2018-09-05,,2,2,12182590,1,,2018-09,,Active,0,0
183,215,34.668434595389385,Female,C15,1,17307,2019-07-19,2020-05-17,1,1,1742410,1,303.0,2019-07,2020-05,Left,0,0
184,216,30.0,Male,C20,1,86340,2019-07-04,2020-07-25,2,2,7020890,1,387.0,2019-07,2020-07,Left,0,0
185,217,32.0,Male,C10,1,27328,2016-05-20,2019-06-24,1,2,5854230,1,1130.0,2016-05,2019-06,Left,0,0
186,218,25.0,Male,C21,0,27979,2020-07-31,,1,1,734620,2,,2020-07,,Active,0,1
187,219,36.0,Male,C5,0,51657,2018-05-11,2019-11-11,2,2,2805350,1,549.0,2018-05,2019-11,Left,0,0
188,220,38.0,Female,C18,1,107539,2013-11-20,2019-10-14,2,3,2784450,1,2154.0,2013-11,2019-10,Left,0,0
189,221,31.0,Male,C3,0,13051,2018-12-29,2019-01-19,1,1,0,1,21.0,2018-12,2019-01,Left,0,0
190,222,26.0,Male,C2,0,92753,2019-09-12,2019-10-08,3,3,0,1,26.0,2019-09,2019-10,Left,0,0
191,223,25.0,Male,C20,0,59108,2018-08-24,2019-04-13,2,2,1559910,1,232.0,2018-08,2019-04,Left,0,0
192,225,32.0,Male,C14,0,44792,2020-07-13,,3,3,2242270,3,,2020-07,,Active,0,1
193,226,36.0,Female,C18,1,55528,2019-11-09,2020-05-02,2,2,1172300,1,175.0,2019-11,2020-05,Left,0,0
194,227,45.0,Female,C29,2,61912,2020-05-01,2020-12-12,3,3,7237950,1,225.0,2020-05,2020-12,Left,0,0
195,228,45.0,Male,C6,2,53385,2016-07-25,2020-05-01,1,1,10390120,1,1376.0,2016-07,2020-05,Left,0,0
196,229,43.0,Male,C28,0,104995,2019-08-03,2020-04-10,4,4,11947410,2,251.0,2019-08,2020-04,Left,0,1
197,230,34.0,Male,C25,0,44359,2018-10-13,2019-12-30,2,2,5824480,1,443.0,2018-10,2019-12,Left,0,0
198,231,32.0,Male,C5,1,21354,2018-10-22,2019-01-05,1,1,0,1,75.0,2018-10,2019-01,Left,0,0
199,232,34.0,Male,C15,2,23185,2018-07-03,2019-01-21,1,1,0,1,202.0,2018-07,2019-01,Left,0,0
200,233,36.0,Female,C27,1,139139,2020-06-28,,3,3,500000,1,,2020-06,,Active,0,0
201,234,27.0,Female,C23,1,52616,2020-01-02,,2,2,2800740,2,,2020-01,,Active,0,1
202,235,39.0,Female,C16,0,37873,2018-10-08,2019-02-11,1,1,0,1,126.0,2018-10,2019-02,Left,0,0
203,237,33.0,Male,C10,0,75626,2020-09-04,,3,3,181070,1,,2020-09,,Active,0,0
204,238,32.0,Male,C20,0,40168,2020-01-14,2020-06-27,2,2,495310,1,165.0,2020-01,2020-06,Left,0,0
205,241,24.0,Male,C1,0,33901,2018-11-12,2019-01-06,1,1,0,1,55.0,2018-11,2019-01,Left,0,0
206,242,28.0,Male,C21,0,11236,2019-11-03,2020-01-07,1,1,0,1,65.0,2019-11,2020-01,Left,0,0
207,243,26.0,Male,C4,2,60228,2020-08-14,,3,3,483150,1,,2020-08,,Active,0,0
208,244,40.0,Male,C20,2,37346,2018-05-04,2019-10-04,1,2,3095340,1,518.0,2018-05,2019-10,Left,0,0
209,245,38.0,Male,C23,2,77903,2020-09-11,2020-12-15,2,2,0,1,95.0,2020-09,2020-12,Left,0,0
210,246,42.0,Male,C10,1,64128,2016-12-13,2019-09-14,1,2,2278190,1,1005.0,2016-12,2019-09,Left,0,0
211,247,39.0,Female,C4,0,27294,2020-06-14,2020-10-23,2,2,619900,1,131.0,2020-06,2020-10,Left,0,0
212,252,37.0,Male,C24,2,81700,2018-06-16,,1,3,28348090,4,,2018-06,,Active,0,0
213,256,21.0,Male,C10,0,25172,2018-10-19,2019-01-22,1,1,0,1,95.0,2018-10,2019-01,Left,0,0
214,257,30.0,Male,C29,1,31655,2019-12-14,2020-02-08,3,3,150230,1,56.0,2019-12,2020-02,Left,0,0
215,258,29.0,Male,C13,0,25459,2020-05-03,,1,1,2658050,2,,2020-05,,Active,0,1
216,260,29.0,Male,C24,1,47864,2019-10-31,2020-01-06,1,1,0,1,67.0,2019-10,2020-01,Left,0,0
217,261,42.0,Female,C20,2,90988,2018-07-27,2020-04-12,3,3,7912770,1,625.0,2018-07,2020-04,Left,0,0
218,262,28.0,Female,C2,1,24862,2019-01-16,2019-07-16,2,2,1200020,1,181.0,2019-01,2019-07,Left,0,0
219,263,24.0,Male,C6,0,19170,2020-10-12,,1,1,289500,1,,2020-10,,Active,0,0
220,264,25.0,Male,C11,2,49439,2020-12-18,2020-12-18,1,1,0,1,0.0,2020-12,2020-12,Left,0,0
221,265,34.0,Male,C3,1,40381,2020-05-30,,1,1,1706780,2,,2020-05,,Active,0,1
222,266,43.0,Male,C16,1,40102,2017-10-17,2019-06-08,1,2,2558650,1,599.0,2017-10,2019-06,Left,0,0
223,267,36.0,Male,C5,0,89200,2019-10-07,2020-07-14,3,3,3643890,2,281.0,2019-10,2020-07,Left,0,1
224,268,31.0,Female,C6,1,54352,2019-06-01,2020-07-29,1,1,4024340,1,424.0,2019-06,2020-07,Left,0,0
225,270,36.0,Male,C11,1,76336,2020-05-04,2020-07-29,3,3,260000,1,86.0,2020-05,2020-07,Left,0,0
226,271,38.0,Male,C29,2,134529,2020-05-29,,4,4,19169110,3,,2020-05,,Active,0,1
227,272,37.0,Male,C5,1,64901,2019-05-30,,2,2,8992830,3,,2019-05,,Active,0,1
228,273,29.0,Male,C16,1,40259,2020-08-30,,1,1,461970,1,,2020-08,,Active,0,0
229,274,39.0,Male,C7,1,53224,2020-12-20,,2,2,0,1,,2020-12,,Active,0,0
